2054,1984,2803,3092,1643,1795,1961,2091
2055,1982,2805,3087,1645,1786,1957,2088
2053,1982,2805,3084,1644,1794,1967,2086
2051,1982,2804,3087,1644,1791,1984,2070
2054,1987,2805,3089,1643,1789,1994,2045
2060,1984,2803,3093,1645,1784,2006,2027
2051,1986,2803,3101,1645,1783,2007,2001
2052,1988,2807,3097,1644,1786,2000,1983
2054,1986,2803,3094,1646,1779,2010,1974
2054,1984,2804,3089,1646,1778,2016,1967
2053,1987,2805,3085,1646,1784,2021,1935
2055,1989,2804,3079,1647,1781,2023,1909
2050,1986,2805,3082,1646,1781,2016,1877
2056,1983,2805,3081,1646,1778,2001,1869
2056,1983,2803,3084,1646,1777,1984,1866
2052,1984,2800,3088,1645,1760,1955,1866
2055,1982,2801,3092,1646,1771,1921,1870
2069,1984,2803,3101,1649,1773,1881,1885
2058,1984,2802,3110,1646,1775,1848,1891
2055,1988,2805,3117,1646,1771,1814,1909
2044,1989,2806,3119,1646,1770,1793,1915
2053,1996,2803,3127,1646,1769,1739,1941
2048,2000,2805,3133,1647,1770,1695,1967
2048,2003,2803,3137,1646,1769,1622,1973
2047,2007,2804,3144,1645,1767,1558,1972
2047,2006,2803,3146,1647,1766,1529,1966
2045,2005,2807,3147,1647,1764,1507,1932
2045,2009,2805,3147,1645,1766,1505,1909
2047,2004,2806,3149,1644,1760,1515,1879
2043,2012,2804,3155,1643,1770,1521,1862
2044,2006,2804,3148,1645,1760,1537,1826
2051,2010,2806,3145,1644,1756,1534,1790
2049,2004,2805,3144,1643,1755,1501,1737
2050,2005,2808,3143,1644,1752,1457,1681
2052,2004,2804,3150,1647,1752,1411,1625
2047,2010,2806,3150,1645,1754,1339,1591
2041,2007,2805,3151,1646,1754,1297,1563
2051,2008,2804,3151,1646,1749,1270,1531
2043,2012,2804,3154,1646,1747,1263,1490
2049,2011,2803,3153,1646,1746,1267,1449
2048,2011,2805,3153,1645,1745,1271,1397
2044,2013,2807,3159,1646,1748,1270,1347
2050,2013,2806,3163,1647,1747,1264,1308
2046,2014,2804,3163,1647,1749,1249,1288
2044,2020,2804,3163,1647,1749,1233,1235
2042,2025,2805,3159,1650,1746,1215,1192
